"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"1500000US170310302003","Block Group 3, Census Tract 302, Cook County, Illinois","410","77","0","11","13","20","0","11","0","11","0","11","16","26","41","36","46","45","0","11","0","11","0","11","11","19","30","35","43","41","58","45","152","65"
"1500000US170310302004","Block Group 4, Census Tract 302, Cook County, Illinois","711","142","11","18","51","64","37","35","26","43","0","11","56","61","47","75","26","30","0","11","99","80","33","32","172","107","63","46","62","50","16","24","12","19"
"1500000US170310303001","Block Group 1, Census Tract 303, Cook County, Illinois","640","99","105","60","30","29","74","46","91","65","36","38","34","30","28","35","0","11","28","34","41","40","76","47","37","42","18","20","0","11","25","21","17","27"
"1500000US170310303002","Block Group 2, Census Tract 303, Cook County, Illinois","733","95","83","47","77","45","39","37","37","32","55","51","39","43","63","56","32","40","22","26","35","32","104","61","69","56","33","37","24","23","13","19","8","13"
"1500000US170310304001","Block Group 1, Census Tract 304, Cook County, Illinois","785","84","185","83","90","62","76","54","25","33","56","39","0","11","40","30","21","25","16","26","68","45","41","36","37","27","44","42","43","31","29","25","14","17"
"1500000US170310304002","Block Group 2, Census Tract 304, Cook County, Illinois","460","66","17","21","0","11","0","11","20","30","25","23","34","41","43","36","20","21","16","25","50","31","31","25","63","46","15","15","31","32","43","32","52","30"
"1500000US170310305001","Block Group 1, Census Tract 305, Cook County, Illinois","592","133","22","25","46","74","47","44","32","37","0","11","39","63","10","17","0","11","0","11","70","81","85","64","95","59","70","47","46","42","23","29","7","17"
"1500000US170310305002","Block Group 2, Census Tract 305, Cook County, Illinois","761","145","11","18","68","44","97","98","36","33","0","11","25","28","26","29","23","26","34","32","61","64","42","39","151","84","39","38","21","26","94","85","33","35"
"1500000US170310305003","Block Group 3, Census Tract 305, Cook County, Illinois","770","157","80","49","89","71","13","22","0","11","48","62","0","11","40","47","29","47","75","88","12","19","38","29","70","55","54","50","90","70","52","38","80","56"
"1500000US170310305004","Block Group 4, Census Tract 305, Cook County, Illinois","672","120","0","11","45","47","12","19","8","13","86","72","25","31","27","31","49","41","13","21","87","81","53","51","86","90","46","32","38","36","61","48","36","33"
"1500000US170310306011","Block Group 1, Census Tract 306.01, Cook County, Illinois","434","123","95","77","43","50","66","49","13","20","44","54","33","37","62","54","0","11","20","34","0","11","0","11","13","21","0","11","0","11","13","21","32","36"
"1500000US170310306012","Block Group 2, Census Tract 306.01, Cook County, Illinois","418","129","77","59","59","53","54","43","0","11","0","11","0","11","32","50","75","116","0","11","32","52","14","23","0","11","25","28","23","22","0","11","27","31"
"1500000US170310306013","Block Group 3, Census Tract 306.01, Cook County, Illinois","991","148","94","83","56","53","41","44","90","64","48","44","125","110","74","68","28","33","27","35","108","72","62","49","124","82","103","68","0","11","11","19","0","11"
"1500000US170310306031","Block Group 1, Census Tract 306.03, Cook County, Illinois","519","119","79","61","37","43","40","51","56","44","76","82","43","38","40","38","26","26","21","33","44","56","16","18","0","11","27","30","0","11","14","24","0","11"
"1500000US170310306032","Block Group 2, Census Tract 306.03, Cook County, Illinois","703","134","142","81","33","30","92","59","107","82","31","27","43","41","37","38","85","68","0","11","41","37","35","35","12","20","0","11","29","35","16","24","0","11"
"1500000US170310306041","Block Group 1, Census Tract 306.04, Cook County, Illinois","761","141","107","59","31","31","34","30","17","25","37","47","19","23","82","69","66","55","31","53","50","76","107","73","54","55","6","9","71","77","43","41","6","11"
