"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"1500000US170318241083","Block Group 3, Census Tract 8241.08, Cook County, Illinois","904","144","14","22","0","11","0","11","25","35","0","11","25","27","36","33","25","40","0","11","79","64","78","65","165","112","56","58","234","136","143","84","24","36"
"1500000US170318241131","Block Group 1, Census Tract 8241.13, Cook County, Illinois","393","80","17","27","0","11","31","36","0","11","0","11","0","11","45","67","0","11","31","26","0","11","66","47","79","52","31","36","19","30","37","40","37","37"
"1500000US170318241132","Block Group 2, Census Tract 8241.13, Cook County, Illinois","747","99","0","11","0","11","0","11","34","39","0","11","17","28","42","41","15","25","0","11","37","42","27","34","190","88","70","67","31","35","198","96","86","60"
"1500000US170318241133","Block Group 3, Census Tract 8241.13, Cook County, Illinois","1211","129","0","11","17","28","15","23","27","42","0","11","96","81","0","11","60","52","41","37","29","34","131","66","133","75","218","109","153","88","167","121","124","69"
"1500000US170318241141","Block Group 1, Census Tract 8241.14, Cook County, Illinois","1326","107","50","41","8","13","15","18","28","28","48","36","15","16","15","16","80","63","47","59","74","68","37","27","140","77","148","59","110","60","259","83","252","90"
"1500000US170318241142","Block Group 2, Census Tract 8241.14, Cook County, Illinois","537","82","0","11","8","12","8","12","16","18","16","18","0","11","8","12","12","19","32","30","59","35","69","38","124","54","101","58","31","24","18","19","35","32"
"1500000US170318241151","Block Group 1, Census Tract 8241.15, Cook County, Illinois","604","84","0","11","16","19","0","11","9","14","60","52","13","20","35","33","5","9","0","11","16","19","106","53","116","61","115","56","71","42","19","22","23","26"
"1500000US170318241152","Block Group 2, Census Tract 8241.15, Cook County, Illinois","828","71","18","20","25","22","37","32","18","29","61","51","93","72","48","53","36","32","28","25","61","47","62","36","94","54","85","44","61","39","101","58","0","11"
"1500000US170318241161","Block Group 1, Census Tract 8241.16, Cook County, Illinois","638","100","0","11","17","29","9","14","9","15","18","28","70","48","26","43","52","43","13","20","30","25","40","44","89","65","62","61","64","35","88","54","51","35"
"1500000US170318241162","Block Group 2, Census Tract 8241.16, Cook County, Illinois","213","59","11","17","8","14","0","11","9","14","18","22","18","19","19","22","0","11","17","20","37","44","0","11","19","21","8","13","0","11","26","23","23","22"
"1500000US170318241163","Block Group 3, Census Tract 8241.16, Cook County, Illinois","619","100","22","25","17","18","49","46","0","11","28","43","33","26","91","61","27","25","37","26","27","23","53","39","104","62","69","59","26","30","36","31","0","11"
"1500000US170318241164","Block Group 4, Census Tract 8241.16, Cook County, Illinois","638","86","25","24","14","17","68","59","16","18","35","33","44","33","42","38","33","32","35","30","75","61","51","33","77","51","86","54","13","14","24","25","0","11"
"1500000US170318241171","Block Group 1, Census Tract 8241.17, Cook County, Illinois","524","82","13","21","0","11","0","11","32","35","0","11","0","11","0","11","0","11","0","11","42","40","46","42","39","36","76","51","53","49","89","56","134","73"
"1500000US170318241172","Block Group 2, Census Tract 8241.17, Cook County, Illinois","1185","118","14","23","0","11","0","11","14","23","14","23","15","24","48","44","0","11","13","22","16","25","192","97","163","92","145","69","131","67","216","80","204","103"
"1500000US170318241173","Block Group 3, Census Tract 8241.17, Cook County, Illinois","829","119","0","11","18","30","0","11","61","39","25","28","31","36","67","86","34","37","0","11","40","60","99","62","90","49","142","94","48","45","75","57","99","66"
"1500000US170318241174","Block Group 4, Census Tract 8241.17, Cook County, Illinois","776","96","30","34","0","11","46","42","0","11","29","35","16","24","0","11","20","32","33","37","26","30","168","72","97","60","133","89","13","23","117","65","48","43"
"1500000US170318241191","Block Group 1, Census Tract 8241.19, Cook County, Illinois","706","95","0","11","0","11","19","32","0","11","17","27","30","35","0","11","13","22","20","31","48","47","41","40","86","70","136","74","77","57","72","55","147","83"
"1500000US170318241192","Block Group 2, Census Tract 8241.19, Cook County, Illinois","1369","98","61","58","41","46","25","40","21","33","34","38","40","41","20","24","20","25","44","42","271","99","108","63","166","90","114","70","140","67","133","70","131","66"
"1500000US170318241201","Block Group 1, Census Tract 8241.20, Cook County, Illinois","830","98","0","11","0","11","14","23","0","11","15","24","15","24","25","30","16","25","26","30","45","40","45","41","78","54","80","55","139","82","80","54","252","105"
"1500000US170318241202","Block Group 2, Census Tract 8241.20, Cook County, Illinois","730","114","15","24","0","11","0","11","0","11","15","25","45","41","29","24","18","30","0","11","53","46","47","45","42","42","139","112","113","69","69","52","145","65"
"1500000US170318241203","Block Group 3, Census Tract 8241.20, Cook County, Illinois","875","132","25","31","31","35","0","11","30","34","165","107","85","50","44","40","50","47","14","22","39","52","52","50","77","79","77","67","59","62","77","62","50","47"
"1500000US170318241204","Block Group 4, Census Tract 8241.20, Cook County, Illinois","962","125","15","24","0","11","43","40","25","29","25","29","46","35","0","11","89","61","50","47","46","44","122","91","112","58","84","59","92","56","124","94","89","71"
"1500000US170318241211","Block Group 1, Census Tract 8241.21, Cook County, Illinois","600","65","28","26","10","16","5","9","16","21","9","13","9","14","47","47","10","15","0","11","9","14","91","45","138","62","102","53","55","30","40","29","31","23"
"1500000US170318241212","Block Group 2, Census Tract 8241.21, Cook County, Illinois","613","61","29","25","45","29","0","11","12","19","19","21","12","15","15","18","32","28","36","32","57","50","60","38","143","75","49","32","41","40","51","39","12","18"
"1500000US170318241221","Block Group 1, Census Tract 8241.22, Cook County, Illinois","696","107","19","31","0","11","18","29","11","19","0","11","30","36","42","33","28","33","85","89","60","50","77","51","119","86","80","54","30","36","66","45","31","35"
